Time,L,F,SD
2,0.94975,0.464524544247957,0.286973075755114
2.05263157894737,0.961602026433933,0.462368625012954,0.177935002779962
2.10526315789474,0.973436948534772,0.676847722044767,0.202448458314109
2.15789473684211,0.985329558244642,0.93051006554229,0.15780026757098
2.21052631578947,0.997227069543665,0.819204701338505,0.205878980935512
2.26315789473684,1.0090511944161,1.09406966290168,0.201364832987097
2.31578947368421,1.02091647227487,1.08511571022924,0.301331526141105
2.36842105263158,1.03284310811655,1.39289585658909,0.361956968391884
2.42105263157895,1.04477413106135,1.5700287267257,0.283089062564041
2.47368421052632,1.05668687585397,1.96792015243583,0.396353443580542
2.52631578947368,1.06854349771675,2.2276251344713,0.446376231554707
2.57894736842105,1.08042956381132,2.47240908554808,0.521578423890663
2.63157894736842,1.09226532939976,2.92651686071282,0.493841575942966
2.68421052631579,1.1041719297243,3.33229865377246,0.592208445165464
2.73684210526316,1.11603778999854,4.0897774272629,0.712768484137519
2.78947368421053,1.12791334529435,4.5573075966452,0.792442487166378
2.84210526315789,1.13977361360465,5.41254194806786,0.860996310504303
2.89473684210526,1.15170341580844,6.57324922286394,1.05592272906491
2.94736842105263,1.16358532632639,8.13072253178159,1.43651847516927
3,1.17538,10.4524370082043,1.78492195942484
3.05308234648858,1.17543,9.12807661055837,1.56243408124054
3.10898242848589,1.17543,9.26172300571951,1.80076761656516
3.16784981800453,1.17543649376362,8.79734787803993,1.49965031051806
3.22984202669047,1.17545054440867,9.02466444987261,1.61242609314549
3.29512492727747,1.17543,8.67406807220044,1.61153500388491
3.3638731974132,1.17547198373888,8.40167946747125,1.55090165838403
3.43627078704478,1.17543,8.57670941668876,1.47931153369152
3.51251141061411,1.17543,8.52843637820231,1.4550035349622
3.59279906538026,1.17545,8.40937837612824,1.42647483651166
3.67734857725546,1.17545,8.21317622344354,1.43479810260399
3.76638617561546,1.17544608550599,8.25445793975429,1.45252967143783
3.86015009862212,1.17543648745723,8.11322647148901,1.50698617276561
3.95889123067794,1.17543,7.93375902004998,1.40494576671582
4.06287377371823,1.17543,7.90099024389341,1.49057064934493
4.17237595413694,1.17544691782664,8.01931392220823,1.39538847355551
4.28769076723789,1.17543,7.87011872134657,1.41993504286109
4.40912676120314,1.17544679537539,7.77762178682464,1.32271323773938
4.53700886267623,1.17542003725705,7.68669094595012,1.46782125135473
4.67167924616941,1.17544413188549,7.93971681128441,1.46281685429478
4.81349824962092,1.17543000057077,7.6237678058084,1.32310895648817
4.96284533855231,1.17547475054067,7.39210235376487,1.30775368313971
5.12012012140541,1.17542920358088,7.79771497398573,1.27155756171563
5.28574341877584,1.17545,7.70296213013192,1.35746918719864
5.46015838940387,1.17543,7.25722333640274,1.31237412691324
5.64383171593557,1.17545538900326,7.43822144377527,1.32409681310276
5.83725485362694,1.17544456322846,7.45516309790298,1.27234853560908
6.04094534533214,1.17545,7.27079125588596,1.34855298075803
6.25544820629448,1.17543,7.62668951615204,1.37203132255081
6.4813373824452,1.17542248528271,7.468014974897,1.3538083141862
6.71921728611238,1.17543804837006,7.58767672598073,1.30702683459554
6.96972441324869,1.1754415298447,7.35364852140634,1.36908919251008
7.23352904650551,1.17545970803132,7.06491605467893,1.21721934685012
7.51133704871016,1.17543,7.10829172396611,1.34047049061955
7.80389175154513,1.17546,7.24137824235502,1.24549154432932
8.11197594448285,1.17545064845362,7.12224130446881,1.26837432365347
8.43641396929775,1.17545078627581,7.2795518009417,1.20994194559931
8.77807392575995,1.17544881767748,6.79957397628392,1.28994565778567
9.13786999441234,1.17543,7.09499287345052,1.26229962858344
9.51676488264617,1.17543910809608,7.04685969569434,1.26444186723369
9.91577240061998,1.17544134044028,7.05649110873063,1.35372762117175
10.3359601739144,1.17544963954593,6.58383736823624,1.38470971391362
10.7784525001811,1.17544949279874,7.0125854183576,1.2141411263304
11.2444333574293,1.17543,6.89293433487111,1.25327296226251
11.7351495719989,1.17543429844636,7.09963585848018,1.1766878651505
12.2519141546979,1.17543,7.05411985175432,1.23035506359136
12.7961098140288,1.17544752957439,6.9046531586008,1.23118750849617
13.3691926559058,1.17545007045624,6.96172894019779,1.28603552992637
13.972696079762,1.17544318504875,6.85470739537984,1.26357038506899
14.6082348814704,1.17544635900896,6.72246715610532,1.12426810400806
15.277509574058,1.17542971281336,6.88930987907051,1.16428268625588
15.9823109377735,1.17543641614545,6.81663285991518,1.24286636486548
16.7245248116835,1.17544988834291,6.85500472668132,1.20139298066253
17.5061371396169,1.17546561445894,6.85986587802356,1.1820002136282
18.3292392839615,1.17544001848299,6.74950949672378,1.25640370941364
19.1960336215277,1.17544974086422,6.84134329868466,1.15808773559419
20.1088394364549,1.17543,6.84094268934104,1.26277555123822
21.0700991259268,1.17543231353681,6.52409895040258,1.19700188067184
22.0823847353008,1.17544548151348,6.49859359894927,1.22564508271784
23.148404840137,1.17545,6.58629595013939,1.09783500140185
24.2710117935419,1.17542,6.52260098083472,1.25071990696087
25.4532093582179,1.17545379148738,6.55353919151031,1.18579467438008
26.69816074364,1.17542756391825,6.37047138683886,1.11043064062206
28.0091970698645,1.17543,6.34712776947555,1.1656048947246
29.3898262806168,1.17543,6.62619794596736,1.2594571466897
30.8437425295065,1.17544432785571,6.46235457219673,1.20043654765093
32.3748360644852,1.17544243980949,6.39150602441778,1.25120111665521
33.9872036369939,1.17544912483442,6.30331374381096,1.12638861448126
35.6851594636536,1.17544611837265,6.40056092205675,1.10353547230942
37.4732467698263,1.17543,6.57048134735412,1.20690074111648
39.3562499459371,1.17542,6.36753024931171,1.18384196793101
41.3392073490813,1.1754374657725,6.19020418629861,1.19178070803403
43.4274247841713,1.17538305403045,6.24142555537684,1.03751111193672
45.6264897006942,1.17545,6.21520673842269,1.0742970067095
47.9422861430669,1.17545,6.14144367617397,1.12510242762924
50.3810104945906,1.17545003909431,6.36914310144724,1.11776187037144
52.949188057132,1.17545,6.28910074937746,1.18227423172912
55.6536905108925,1.17547240964819,6.13452679356853,1.17948911478306
58.5017543009827,1.175410516067,6.38358893682218,1.12888357554065
61.501,1.17542,6.32412467737992,1.10751426905589
